date,stock
20240617,600941.SH
20240617,600958.SH
20240617,600989.SH
20240617,600999.SH
20240617,601006.SH
20240617,601009.SH
20240617,601012.SH
20240617,601021.SH
20240617,601059.SH
20240617,601066.SH
20240617,601088.SH
20240617,601100.SH
20240617,601111.SH
20240617,601117.SH
20240617,601138.SH
20240617,601166.SH
20240617,601169.SH
20240617,601186.SH
20240617,601211.SH
20240617,601225.SH
20240617,601229.SH
20240617,601236.SH
20240617,601238.SH
20240617,601288.SH
20240617,601318.SH
20240617,601319.SH
20240617,601328.SH
20240617,601336.SH
20240617,601360.SH
20240617,601377.SH
20240617,601390.SH
20240617,601398.SH
20240617,601600.SH
20240617,601601.SH
20240617,601607.SH
20240617,601618.SH
20240617,601628.SH
20240617,601633.SH
20240617,601658.SH
20240617,601668.SH
20240617,601669.SH
20240617,601688.SH
20240617,601689.SH
20240617,601698.SH
20240617,601699.SH
20240617,601728.SH
20240617,601766.SH
20240617,601788.SH
20240617,601799.SH
20240617,601800.SH
20240617,601808.SH
20240617,601816.SH
20240617,601818.SH
20240617,601838.SH
20240617,601857.SH
20240617,601865.SH
20240617,601868.SH
20240617,601872.SH
20240617,601877.SH
20240617,601878.SH
20240617,601881.SH
20240617,601888.SH
20240617,601898.SH
20240617,601899.SH
20240617,601901.SH
20240617,601916.SH
20240617,601919.SH
20240617,601939.SH
20240617,601985.SH
20240617,601988.SH
20240617,601989.SH
20240617,601995.SH
20240617,601998.SH
20240617,603019.SH
20240617,603195.SH
20240617,603259.SH
20240617,603260.SH
20240617,603288.SH
20240617,603296.SH
20240617,603369.SH
20240617,603392.SH
20240617,603501.SH
20240617,603659.SH
20240617,603799.SH
20240617,603806.SH
20240617,603833.SH
20240617,603899.SH
20240617,603986.SH
20240617,603993.SH
20240617,605117.SH
20240617,605499.SH
20240617,688008.SH
20240617,688009.SH
20240617,688012.SH
20240617,688036.SH
20240617,688041.SH
20240617,688082.SH
20240617,688111.SH
20240617,688126.SH
20240617,688187.SH
20240617,688223.SH
20240617,688256.SH
20240617,688271.SH
20240617,688303.SH
20240617,688363.SH
20240617,688396.SH
20240617,688599.SH
20240617,688981.SH
20241216,000001.SZ
20241216,000002.SZ
20241216,000063.SZ
20241216,000100.SZ
20241216,000157.SZ
20241216,000166.SZ
20241216,000301.SZ
20241216,000333.SZ
20241216,000338.SZ
20241216,000408.SZ
20241216,000425.SZ
20241216,000538.SZ
20241216,000568.SZ
20241216,000596.SZ
20241216,000617.SZ
20241216,000625.SZ
20241216,000630.SZ
20241216,000651.SZ
20241216,000661.SZ
20241216,000708.SZ
20241216,000725.SZ
20241216,000768.SZ
20241216,000776.SZ
20241216,000786.SZ
20241216,000792.SZ
20241216,000800.SZ
20241216,000807.SZ
20241216,000858.SZ
20241216,000876.SZ
20241216,000895.SZ
20241216,000938.SZ
20241216,000963.SZ
20241216,000975.SZ
20241216,000977.SZ
20241216,000983.SZ
20241216,000999.SZ
20241216,001289.SZ
20241216,001965.SZ
20241216,001979.SZ
20241216,002001.SZ
20241216,002007.SZ
20241216,002027.SZ
20241216,002028.SZ
20241216,002049.SZ
20241216,002050.SZ
20241216,002074.SZ
20241216,002129.SZ
20241216,002142.SZ
20241216,002179.SZ
20241216,002180.SZ
20241216,002230.SZ
20241216,002236.SZ
20241216,002241.SZ
20241216,002252.SZ
20241216,002271.SZ
20241216,002304.SZ
20241216,002311.SZ
20241216,002352.SZ
20241216,002371.SZ
20241216,002415.SZ
20241216,002422.SZ
20241216,002459.SZ
20241216,002460.SZ
20241216,002463.SZ
20241216,002466.SZ
20241216,002475.SZ
20241216,002493.SZ
20241216,002555.SZ
20241216,002594.SZ
20241216,002601.SZ
20241216,002648.SZ
20241216,002709.SZ
20241216,002714.SZ
20241216,002736.SZ
20241216,002812.SZ
20241216,002916.SZ
20241216,002920.SZ
20241216,002938.SZ
20241216,003816.SZ
20241216,300014.SZ
20241216,300015.SZ
20241216,300033.SZ
20241216,300059.SZ
20241216,300122.SZ
20241216,300124.SZ
20241216,300274.SZ
20241216,300308.SZ
20241216,300316.SZ
20241216,300347.SZ
20241216,300394.SZ
20241216,300408.SZ
20241216,300413.SZ
20241216,300418.SZ
20241216,300433.SZ
20241216,300442.SZ
20241216,300450.SZ
20241216,300498.SZ
20241216,300502.SZ
20241216,300628.SZ
20241216,300661.SZ
20241216,300750.SZ
20241216,300759.SZ
20241216,300760.SZ
20241216,300782.SZ
20241216,300832.SZ
20241216,300896.SZ
20241216,300979.SZ
20241216,300999.SZ
20241216,301269.SZ
20241216,600000.SH
20241216,600009.SH
20241216,600010.SH
20241216,600011.SH
20241216,600015.SH
20241216,600016.SH
20241216,600018.SH
20241216,600019.SH
20241216,600023.SH
20241216,600025.SH
20241216,600026.SH
20241216,600027.SH
20241216,600028.SH
20241216,600029.SH
20241216,600030.SH
20241216,600031.SH
20241216,600036.SH
20241216,600039.SH
20241216,600048.SH
20241216,600050.SH
20241216,600061.SH
20241216,600066.SH
20241216,600085.SH
20241216,600089.SH
20241216,600104.SH
20241216,600111.SH
20241216,600115.SH
20241216,600150.SH
20241216,600160.SH
20241216,600161.SH
20241216,600176.SH
20241216,600183.SH
20241216,600188.SH
20241216,600196.SH
20241216,600219.SH
20241216,600233.SH
20241216,600276.SH
20241216,600309.SH
20241216,600332.SH
20241216,600346.SH
20241216,600362.SH
20241216,600372.SH
20241216,600377.SH
20241216,600406.SH
20241216,600415.SH
20241216,600426.SH
20241216,600436.SH
20241216,600438.SH
20241216,600460.SH
20241216,600482.SH
20241216,600489.SH
20241216,600515.SH
20241216,600519.SH
20241216,600547.SH
20241216,600570.SH
20241216,600584.SH
20241216,600585.SH
20241216,600588.SH
20241216,600600.SH
20241216,600660.SH
20241216,600674.SH
20241216,600690.SH
20241216,600741.SH
20241216,600745.SH
20241216,600760.SH
20241216,600795.SH
20241216,600803.SH
20241216,600809.SH
20241216,600837.SH
20241216,600845.SH
20241216,600875.SH
20241216,600886.SH
20241216,600887.SH
20241216,600893.SH
20241216,600900.SH
20241216,600905.SH
20241216,600918.SH
20241216,600919.SH
20241216,600926.SH
20241216,600938.SH
20241216,600941.SH
20241216,600958.SH
20241216,600989.SH
20241216,600999.SH
20241216,601006.SH
20241216,601009.SH
20241216,601012.SH
20241216,601021.SH
20241216,601059.SH
20241216,601066.SH
20241216,601088.SH
20241216,601100.SH
20241216,601111.SH
20241216,601117.SH
20241216,601127.SH
20241216,601136.SH
20241216,601138.SH
20241216,601166.SH
20241216,601169.SH
20241216,601186.SH
20241216,601211.SH
20241216,601225.SH
20241216,601229.SH
20241216,601236.SH
20241216,601238.SH
20241216,601288.SH
20241216,601318.SH
20241216,601319.SH
20241216,601328.SH
20241216,601336.SH
20241216,601360.SH
20241216,601377.SH
20241216,601390.SH
20241216,601398.SH
20241216,601600.SH
20241216,601601.SH
20241216,601607.SH
20241216,601618.SH
20241216,601628.SH
20241216,601633.SH
20241216,601658.SH
20241216,601668.SH
20241216,601669.SH
20241216,601688.SH
20241216,601689.SH
20241216,601698.SH
20241216,601699.SH
20241216,601728.SH
20241216,601766.SH
20241216,601788.SH
20241216,601799.SH
20241216,601800.SH
20241216,601808.SH
20241216,601816.SH
20241216,601818.SH
20241216,601838.SH
20241216,601857.SH
20241216,601865.SH
20241216,601868.SH
20241216,601872.SH
20241216,601877.SH
20241216,601878.SH
20241216,601881.SH
20241216,601888.SH
20241216,601898.SH
20241216,601899.SH
20241216,601901.SH
20241216,601916.SH
20241216,601919.SH
20241216,601939.SH
20241216,601985.SH
20241216,601988.SH
20241216,601989.SH
20241216,601995.SH
20241216,601998.SH
20241216,603019.SH
20241216,603195.SH
20241216,603259.SH
20241216,603260.SH
20241216,603288.SH
20241216,603296.SH
20241216,603369.SH
20241216,603392.SH
20241216,603501.SH
20241216,603659.SH
20241216,603799.SH
20241216,603806.SH
20241216,603833.SH
20241216,603986.SH
20241216,603993.SH
20241216,605117.SH
20241216,605499.SH
20241216,688008.SH
20241216,688009.SH
20241216,688012.SH
20241216,688036.SH
20241216,688041.SH
20241216,688082.SH
20241216,688111.SH
20241216,688126.SH
20241216,688169.SH
20241216,688187.SH
20241216,688223.SH
20241216,688256.SH
20241216,688271.SH
20241216,688303.SH
20241216,688396.SH
20241216,688472.SH
20241216,688506.SH
20241216,688599.SH
20241216,688981.SH
20250310,000001.SZ
20250310,000002.SZ
20250310,000063.SZ
20250310,000100.SZ
20250310,000157.SZ
20250310,000166.SZ
20250310,000301.SZ
20250310,000333.SZ
20250310,000338.SZ
20250310,000408.SZ
20250310,000425.SZ
20250310,000538.SZ
